# nbar bbar snr_ps snr_pb
3.572626e-02 7.380265e-01 4.114303e-01 1.123040e+01
3.152719e-02 7.429928e-01 4.011620e-01 1.051393e+01
2.781378e-02 7.485767e-01 3.905694e-01 9.779300e+00
2.453037e-02 7.548422e-01 3.797368e-01 9.034044e+00
2.162715e-02 7.618606e-01 3.687576e-01 8.286959e+00
1.906090e-02 7.697083e-01 3.577383e-01 7.547956e+00
1.679232e-02 7.784724e-01 3.467890e-01 6.826847e+00
1.478773e-02 7.882442e-01 3.360312e-01 6.133204e+00
1.301624e-02 7.991294e-01 3.255844e-01 5.474956e+00
1.120908e-02 8.133837e-01 3.139576e-01 4.760397e+00
9.855228e-03 8.270811e-01 3.046086e-01 4.198549e+00
8.659996e-03 8.422863e-01 2.959530e-01 3.686365e+00
7.604798e-03 8.591563e-01 2.880947e-01 3.224974e+00
6.673728e-03 8.778549e-01 2.811286e-01 2.814956e+00
5.852293e-03 8.985706e-01 2.751305e-01 2.456451e+00
5.127938e-03 9.215046e-01 2.701594e-01 2.150021e+00
4.489399e-03 9.468827e-01 2.662516e-01 1.896881e+00
3.839721e-03 9.799113e-01 2.630537e-01 1.671734e+00
3.354588e-03 1.011468e+00 2.614673e-01 1.541721e+00
2.927565e-03 1.046347e+00 2.609116e-01 1.471296e+00
2.551946e-03 1.084881e+00 2.613334e-01 1.459072e+00
2.221694e-03 1.127455e+00 2.626641e-01 1.500365e+00
1.931604e-03 1.174473e+00 2.648227e-01 1.588323e+00
1.676912e-03 1.226408e+00 2.677211e-01 1.715998e+00
1.453565e-03 1.283754e+00 2.712653e-01 1.877808e+00
1.227650e-03 1.358277e+00 2.760922e-01 2.105241e+00
1.060108e-03 1.429389e+00 2.807150e-01 2.331669e+00
9.136135e-04 1.507952e+00 2.856928e-01 2.587513e+00
7.857293e-04 1.594727e+00 2.909385e-01 2.874183e+00
6.742065e-04 1.690627e+00 2.963736e-01 3.194152e+00
5.771240e-04 1.796608e+00 3.019211e-01 3.550362e+00
4.927313e-04 1.913792e+00 3.075118e-01 3.946390e+00
4.195093e-04 2.043396e+00 3.130791e-01 4.386041e+00
3.463979e-04 2.212153e+00 3.194631e-01 4.959604e+00
2.929304e-04 2.373630e+00 3.247736e-01 5.508066e+00
2.468517e-04 2.552498e+00 3.298777e-01 6.113584e+00
2.072388e-04 2.750766e+00 3.347241e-01 6.780609e+00
1.732857e-04 2.970640e+00 3.392625e-01 7.513433e+00
1.442636e-04 3.214717e+00 3.434470e-01 8.316769e+00
1.195478e-04 3.485767e+00 3.472302e-01 9.195041e+00
9.856602e-05 3.787151e+00 3.505699e-01 1.015395e+01
7.816081e-05 4.181858e+00 3.538469e-01 1.138295e+01
6.365933e-05 4.562089e+00 3.560796e-01 1.254199e+01
5.152308e-05 4.985906e+00 3.577382e-01 1.381275e+01
4.141383e-05 5.459031e+00 3.587869e-01 1.521788e+01
3.304485e-05 5.987507e+00 3.591914e-01 1.679113e+01
2.615638e-05 6.578710e+00 3.589216e-01 1.858679e+01
2.052684e-05 7.240592e+00 3.579520e-01 2.068655e+01
1.595895e-05 7.982616e+00 3.562624e-01 2.321463e+01
1.174627e-05 8.963707e+00 3.533660e-01 2.695103e+01
