# nbar bbar snr_ps snr_pb
1.003774e-01 7.707709e-01 1.235550e-01 6.809909e+00
9.025771e-02 7.762777e-01 1.215821e-01 6.597451e+00
7.942896e-02 7.835673e-01 1.191023e-01 6.324282e+00
7.138559e-02 7.902582e-01 1.169519e-01 6.081396e+00
6.277976e-02 7.990937e-01 1.142860e-01 5.771853e+00
5.639001e-02 8.071838e-01 1.120084e-01 5.499334e+00
4.955495e-02 8.178451e-01 1.092298e-01 5.155787e+00
4.448174e-02 8.275878e-01 1.068972e-01 4.857040e+00
3.905718e-02 8.404029e-01 1.041060e-01 4.485778e+00
3.427693e-02 8.545507e-01 1.013589e-01 4.104060e+00
3.073073e-02 8.674489e-01 9.913221e-02 3.781436e+00
2.694167e-02 8.843753e-01 9.657160e-02 3.394403e+00
2.413253e-02 8.997848e-01 9.456041e-02 3.077787e+00
2.113237e-02 9.199839e-01 9.233096e-02 2.714618e+00
1.890945e-02 9.383525e-01 9.065518e-02 2.436307e+00
1.653699e-02 9.624047e-01 8.889561e-02 2.148876e+00
1.478020e-02 9.842587e-01 8.766185e-02 1.965298e+00
1.290684e-02 1.012847e+00 8.648394e-02 1.835333e+00
1.126083e-02 1.044244e+00 8.565409e-02 1.821361e+00
1.004362e-02 1.072737e+00 8.523600e-02 1.898445e+00
8.747144e-03 1.109980e+00 8.506293e-02 2.081172e+00
7.789351e-03 1.143760e+00 8.518692e-02 2.290880e+00
6.770313e-03 1.187891e+00 8.564308e-02 2.591495e+00
6.018249e-03 1.227906e+00 8.626307e-02 2.871630e+00
5.219155e-03 1.280159e+00 8.726914e-02 3.234614e+00
4.630083e-03 1.327536e+00 8.830314e-02 3.555952e+00
4.005095e-03 1.389384e+00 8.974695e-02 3.962484e+00
3.459099e-03 1.457198e+00 9.137739e-02 4.392518e+00
3.057658e-03 1.518663e+00 9.285145e-02 4.770291e+00
2.632714e-03 1.598926e+00 9.472798e-02 5.249874e+00
2.320816e-03 1.671694e+00 9.635803e-02 5.674111e+00
1.991354e-03 1.766724e+00 9.836582e-02 6.216625e+00
1.750013e-03 1.852917e+00 1.000623e-01 6.699972e+00
1.495691e-03 1.965510e+00 1.021018e-01 7.321673e+00
1.309841e-03 2.067684e+00 1.037884e-01 7.878091e+00
1.114511e-03 2.201223e+00 1.057766e-01 8.595780e+00
9.457706e-04 2.347870e+00 1.077070e-01 9.372389e+00
8.230572e-04 2.481048e+00 1.092583e-01 1.006729e+01
6.947106e-04 2.655311e+00 1.110364e-01 1.096089e+01
6.016933e-04 2.813724e+00 1.124388e-01 1.175660e+01
5.047930e-04 3.021170e+00 1.140140e-01 1.277233e+01
4.348551e-04 3.209942e+00 1.152289e-01 1.366836e+01
3.623215e-04 3.457414e+00 1.165590e-01 1.479857e+01
3.102307e-04 3.682832e+00 1.175537e-01 1.578096e+01
2.564755e-04 3.978764e+00 1.186024e-01 1.699806e+01
2.110496e-04 4.305332e+00 1.194838e-01 1.824046e+01
1.787167e-04 4.603453e+00 1.200846e-01 1.927853e+01
1.456795e-04 4.995611e+00 1.206376e-01 2.049978e+01
1.223285e-04 5.354190e+00 1.209535e-01 2.146958e+01
9.864751e-05 5.826678e+00 1.211523e-01 2.252910e+01
8.204901e-05 6.259382e+00 1.211636e-01 2.327871e+01
6.535909e-05 6.830711e+00 1.209869e-01 2.394215e+01
5.377423e-05 7.354810e+00 1.206781e-01 2.422252e+01
4.224110e-05 8.048337e+00 1.201103e-01 2.411038e+01
3.290467e-05 8.820348e+00 1.193261e-01 2.334125e+01
