# nbar bbar snr_ps snr_pb
1.003774e-01 7.707709e-01 8.516093e-02 8.676750e-01
9.025771e-02 7.762777e-01 8.378298e-02 8.352709e-01
7.942896e-02 7.835673e-01 8.205252e-02 7.945201e-01
7.138559e-02 7.902582e-01 8.055344e-02 7.591226e-01
6.277976e-02 7.990937e-01 7.869759e-02 7.151086e-01
5.639001e-02 8.071838e-01 7.711488e-02 6.773384e-01
4.955495e-02 8.178451e-01 7.518845e-02 6.309731e-01
4.448174e-02 8.275878e-01 7.357594e-02 5.917379e-01
3.905718e-02 8.404029e-01 7.165371e-02 5.443228e-01
3.427693e-02 8.545507e-01 6.977199e-02 4.970677e-01
3.073073e-02 8.674489e-01 6.825643e-02 4.582853e-01
2.694167e-02 8.843753e-01 6.652812e-02 4.131727e-01
2.413253e-02 8.997848e-01 6.518545e-02 3.774783e-01
2.113237e-02 9.199839e-01 6.371885e-02 3.380668e-01
1.890945e-02 9.383525e-01 6.263845e-02 3.092427e-01
1.653699e-02 9.624047e-01 6.153615e-02 2.812939e-01
1.478020e-02 9.842587e-01 6.079590e-02 2.651438e-01
1.290684e-02 1.012847e+00 6.013789e-02 2.561780e-01
1.126083e-02 1.044244e+00 5.974264e-02 2.596309e-01
1.004362e-02 1.072737e+00 5.961784e-02 2.717501e-01
8.747144e-03 1.109980e+00 5.971159e-02 2.960032e-01
7.789351e-03 1.143760e+00 5.998644e-02 3.229062e-01
6.770313e-03 1.187891e+00 6.053915e-02 3.616195e-01
6.018249e-03 1.227906e+00 6.117157e-02 3.982963e-01
5.219155e-03 1.280159e+00 6.211568e-02 4.468397e-01
4.630083e-03 1.327536e+00 6.303869e-02 4.907547e-01
4.005095e-03 1.389384e+00 6.428518e-02 5.474559e-01
3.459099e-03 1.457198e+00 6.565674e-02 6.086169e-01
3.057658e-03 1.518663e+00 6.687484e-02 6.631519e-01
2.632714e-03 1.598926e+00 6.840404e-02 7.332068e-01
2.320816e-03 1.671694e+00 6.971750e-02 7.957288e-01
1.991354e-03 1.766724e+00 7.132048e-02 8.761652e-01
1.750013e-03 1.852917e+00 7.266446e-02 9.480896e-01
1.495691e-03 1.965510e+00 7.426979e-02 1.040742e+00
1.309841e-03 2.067684e+00 7.558989e-02 1.123659e+00
1.114511e-03 2.201223e+00 7.713853e-02 1.230472e+00
9.457706e-04 2.347870e+00 7.863533e-02 1.345804e+00
8.230572e-04 2.481048e+00 7.983361e-02 1.448776e+00
6.947106e-04 2.655311e+00 8.120252e-02 1.580949e+00
6.016933e-04 2.813724e+00 8.227879e-02 1.698528e+00
5.047930e-04 3.021170e+00 8.348408e-02 1.848702e+00
4.348551e-04 3.209942e+00 8.441094e-02 1.981525e+00
3.623215e-04 3.457414e+00 8.542254e-02 2.150004e+00
3.102307e-04 3.682832e+00 8.617663e-02 2.297822e+00
2.564755e-04 3.978764e+00 8.696852e-02 2.483670e+00
2.110496e-04 4.305332e+00 8.763056e-02 2.678005e+00
1.787167e-04 4.603453e+00 8.807856e-02 2.845730e+00
1.456795e-04 4.995611e+00 8.848621e-02 3.052713e+00
1.223285e-04 5.354190e+00 8.871384e-02 3.228949e+00
9.864751e-05 5.826678e+00 8.884771e-02 3.443264e+00
8.204901e-05 6.259382e+00 8.883983e-02 3.622902e+00
6.535909e-05 6.830711e+00 8.868317e-02 3.837953e+00
5.377423e-05 7.354810e+00 8.842739e-02 4.015410e+00
4.224110e-05 8.048337e+00 8.796745e-02 4.225095e+00
3.290467e-05 8.820348e+00 8.733904e-02 4.430616e+00
