# nbar bbar snr_ps snr_pb
3.572626e-02 7.380265e-01 4.029726e-02 9.523510e-01
3.152719e-02 7.429928e-01 3.914512e-02 8.910059e-01
2.781378e-02 7.485767e-01 3.795252e-02 8.279722e-01
2.453037e-02 7.548422e-01 3.672831e-02 7.639272e-01
2.162715e-02 7.618606e-01 3.548241e-02 6.996667e-01
1.906090e-02 7.697083e-01 3.422635e-02 6.360875e-01
1.679232e-02 7.784724e-01 3.297225e-02 5.740775e-01
1.478773e-02 7.882442e-01 3.173382e-02 5.144978e-01
1.301624e-02 7.991294e-01 3.052483e-02 4.580583e-01
1.120908e-02 8.133837e-01 2.917155e-02 3.969478e-01
9.855228e-03 8.270811e-01 2.807738e-02 3.490529e-01
8.659996e-03 8.422863e-01 2.705986e-02 3.055515e-01
7.604798e-03 8.591563e-01 2.613297e-02 2.665407e-01
6.673728e-03 8.778549e-01 2.531013e-02 2.320732e-01
5.852293e-03 8.985706e-01 2.460277e-02 2.021702e-01
5.127938e-03 9.215046e-01 2.402038e-02 1.768954e-01
4.489399e-03 9.468827e-01 2.356956e-02 1.563710e-01
3.839721e-03 9.799113e-01 2.321429e-02 1.386768e-01
3.354588e-03 1.011468e+00 2.305577e-02 1.290660e-01
2.927565e-03 1.046347e+00 2.302794e-02 1.246038e-01
2.551946e-03 1.084881e+00 2.312375e-02 1.250296e-01
2.221694e-03 1.127455e+00 2.333364e-02 1.298204e-01
1.931604e-03 1.174473e+00 2.364612e-02 1.383343e-01
1.676912e-03 1.226408e+00 2.404875e-02 1.499891e-01
1.453565e-03 1.283754e+00 2.452834e-02 1.643551e-01
1.227650e-03 1.358277e+00 2.516804e-02 1.842331e-01
1.060108e-03 1.429389e+00 2.577063e-02 2.038571e-01
9.136135e-04 1.507952e+00 2.641116e-02 2.259358e-01
7.857293e-04 1.594727e+00 2.707855e-02 2.506137e-01
6.742065e-04 1.690627e+00 2.776308e-02 2.781165e-01
5.771240e-04 1.796608e+00 2.845548e-02 3.087007e-01
4.927313e-04 1.913792e+00 2.914759e-02 3.426689e-01
4.195093e-04 2.043396e+00 2.983174e-02 3.803333e-01
3.463979e-04 2.212153e+00 3.061063e-02 4.293822e-01
2.929304e-04 2.373630e+00 3.125435e-02 4.761667e-01
2.468517e-04 2.552498e+00 3.186968e-02 5.276462e-01
2.072388e-04 2.750766e+00 3.245105e-02 5.840881e-01
1.732857e-04 2.970640e+00 3.299298e-02 6.456850e-01
1.442636e-04 3.214717e+00 3.349049e-02 7.125738e-01
1.195478e-04 3.485767e+00 3.393846e-02 7.847323e-01
9.856602e-05 3.787151e+00 3.433225e-02 8.620470e-01
7.816081e-05 4.181858e+00 3.471680e-02 9.582714e-01
6.365933e-05 4.562089e+00 3.497720e-02 1.045305e+00
5.152308e-05 4.985906e+00 3.516902e-02 1.135632e+00
4.141383e-05 5.459031e+00 3.528819e-02 1.228190e+00
3.304485e-05 5.987507e+00 3.533079e-02 1.321538e+00
2.615638e-05 6.578710e+00 3.529326e-02 1.414047e+00
2.052684e-05 7.240592e+00 3.517252e-02 1.503780e+00
1.595895e-05 7.982616e+00 3.496602e-02 1.588702e+00
1.174627e-05 8.963707e+00 3.461447e-02 1.678939e+00
