# nbar bbar snr_ps snr_pb
1.003774e-01 7.707709e-01 1.385871e-01 2.487334e+00
9.025771e-02 7.762777e-01 1.359626e-01 2.399524e+00
7.942896e-02 7.835673e-01 1.326583e-01 2.288140e+00
7.138559e-02 7.902582e-01 1.297881e-01 2.190476e+00
6.277976e-02 7.990937e-01 1.262241e-01 2.067784e+00
5.639001e-02 8.071838e-01 1.231748e-01 1.961322e+00
4.955495e-02 8.178451e-01 1.194504e-01 1.829051e+00
4.448174e-02 8.275878e-01 1.163215e-01 1.715666e+00
3.905718e-02 8.404029e-01 1.125774e-01 1.576721e+00
3.427693e-02 8.545507e-01 1.088971e-01 1.435949e+00
3.073073e-02 8.674489e-01 1.059220e-01 1.318499e+00
2.694167e-02 8.843753e-01 1.025183e-01 1.179354e+00
2.413253e-02 8.997848e-01 9.986757e-02 1.066948e+00
2.113237e-02 9.199839e-01 9.696896e-02 9.397683e-01
1.890945e-02 9.383525e-01 9.483585e-02 8.439641e-01
1.653699e-02 9.624047e-01 9.266991e-02 7.475824e-01
1.478020e-02 9.842587e-01 9.123153e-02 6.890173e-01
1.290684e-02 1.012847e+00 8.998402e-02 6.529737e-01
1.126083e-02 1.044244e+00 8.928615e-02 6.596281e-01
1.004362e-02 1.072737e+00 8.913354e-02 6.969336e-01
8.747144e-03 1.109980e+00 8.945984e-02 7.735221e-01
7.789351e-03 1.143760e+00 9.014055e-02 8.577493e-01
6.770313e-03 1.187891e+00 9.141532e-02 9.768242e-01
6.018249e-03 1.227906e+00 9.282547e-02 1.087553e+00
5.219155e-03 1.280159e+00 9.488513e-02 1.231587e+00
4.630083e-03 1.327536e+00 9.686588e-02 1.359922e+00
4.005095e-03 1.389384e+00 9.950453e-02 1.523491e+00
3.459099e-03 1.457198e+00 1.023709e-01 1.697878e+00
3.057658e-03 1.518663e+00 1.048902e-01 1.852037e+00
2.632714e-03 1.598926e+00 1.080233e-01 2.048726e+00
2.320816e-03 1.671694e+00 1.106915e-01 2.223349e+00
1.991354e-03 1.766724e+00 1.139228e-01 2.447149e+00
1.750013e-03 1.852917e+00 1.166129e-01 2.646727e+00
1.495691e-03 1.965510e+00 1.198058e-01 2.903379e+00
1.309841e-03 2.067684e+00 1.224162e-01 3.132834e+00
1.114511e-03 2.201223e+00 1.254624e-01 3.428279e+00
9.457706e-04 2.347870e+00 1.283913e-01 3.747243e+00
8.230572e-04 2.481048e+00 1.307260e-01 4.032016e+00
6.947106e-04 2.655311e+00 1.333825e-01 4.397481e+00
6.016933e-04 2.813724e+00 1.354636e-01 4.722403e+00
5.047930e-04 3.021170e+00 1.377862e-01 5.136848e+00
4.348551e-04 3.209942e+00 1.395667e-01 5.502545e+00
3.623215e-04 3.457414e+00 1.415040e-01 5.964596e+00
3.102307e-04 3.682832e+00 1.429437e-01 6.367595e+00
2.564755e-04 3.978764e+00 1.444509e-01 6.869818e+00
2.110496e-04 4.305332e+00 1.457060e-01 7.387653e+00
1.787167e-04 4.603453e+00 1.465513e-01 7.826388e+00
1.456795e-04 4.995611e+00 1.473154e-01 8.353534e+00
1.223285e-04 5.354190e+00 1.477364e-01 8.785644e+00
9.864751e-05 5.826678e+00 1.479742e-01 9.282448e+00
8.204901e-05 6.259382e+00 1.479430e-01 9.665666e+00
6.535909e-05 6.830711e+00 1.476229e-01 1.006823e+01
5.377423e-05 7.354810e+00 1.471154e-01 1.033616e+01
4.224110e-05 8.048337e+00 1.462120e-01 1.054600e+01
3.290467e-05 8.820348e+00 1.449835e-01 1.059310e+01
