# nbar bbar snr_ps snr_pb
1.003774e-01 7.707709e-01 3.308800e-01 1.531073e+01
9.025771e-02 7.762777e-01 3.260993e-01 1.483256e+01
7.942896e-02 7.835673e-01 3.200963e-01 1.421838e+01
7.138559e-02 7.902582e-01 3.148954e-01 1.367288e+01
6.277976e-02 7.990937e-01 3.084542e-01 1.297853e+01
5.639001e-02 8.071838e-01 3.029566e-01 1.236803e+01
4.955495e-02 8.178451e-01 2.962563e-01 1.159954e+01
4.448174e-02 8.275878e-01 2.906363e-01 1.093232e+01
3.905718e-02 8.404029e-01 2.839164e-01 1.010460e+01
3.427693e-02 8.545507e-01 2.773063e-01 9.255378e+00
3.073073e-02 8.674489e-01 2.719485e-01 8.539209e+00
2.694167e-02 8.843753e-01 2.657840e-01 7.682241e+00
2.413253e-02 8.997848e-01 2.609353e-01 6.983248e+00
2.113237e-02 9.199839e-01 2.555459e-01 6.184259e+00
1.890945e-02 9.383525e-01 2.514764e-01 5.574421e+00
1.653699e-02 9.624047e-01 2.471716e-01 4.947283e+00
1.478020e-02 9.842587e-01 2.441169e-01 4.548109e+00
1.290684e-02 1.012847e+00 2.411422e-01 4.264934e+00
1.126083e-02 1.044244e+00 2.389603e-01 4.230673e+00
1.004362e-02 1.072737e+00 2.377649e-01 4.392771e+00
8.747144e-03 1.109980e+00 2.370800e-01 4.783769e+00
7.789351e-03 1.143760e+00 2.371233e-01 5.237097e+00
6.770313e-03 1.187891e+00 2.378826e-01 5.892139e+00
6.018249e-03 1.227906e+00 2.390715e-01 6.506365e+00
5.219155e-03 1.280159e+00 2.411117e-01 7.306097e+00
4.630083e-03 1.327536e+00 2.432748e-01 8.016750e+00
4.005095e-03 1.389384e+00 2.463579e-01 8.918483e+00
3.459099e-03 1.457198e+00 2.498967e-01 9.874820e+00
3.057658e-03 1.518663e+00 2.531335e-01 1.071658e+01
2.632714e-03 1.598926e+00 2.572938e-01 1.178704e+01
2.320816e-03 1.671694e+00 2.609372e-01 1.273547e+01
1.991354e-03 1.766724e+00 2.654569e-01 1.395030e+01
1.750013e-03 1.852917e+00 2.692996e-01 1.503457e+01
1.495691e-03 1.965510e+00 2.739453e-01 1.643214e+01
1.309841e-03 2.067684e+00 2.778061e-01 1.768617e+01
1.114511e-03 2.201223e+00 2.823776e-01 1.930906e+01
9.457706e-04 2.347870e+00 2.868361e-01 2.107354e+01
8.230572e-04 2.481048e+00 2.904321e-01 2.266147e+01
6.947106e-04 2.655311e+00 2.945680e-01 2.471927e+01
6.016933e-04 2.813724e+00 2.978402e-01 2.657019e+01
5.047930e-04 3.021170e+00 3.015266e-01 2.896512e+01
4.348551e-04 3.209942e+00 3.043780e-01 3.111567e+01
3.623215e-04 3.457414e+00 3.075083e-01 3.389392e+01
3.102307e-04 3.682832e+00 3.098563e-01 3.638601e+01
2.564755e-04 3.978764e+00 3.123393e-01 3.960771e+01
2.110496e-04 4.305332e+00 3.144350e-01 4.310928e+01
1.787167e-04 4.603453e+00 3.158702e-01 4.627183e+01
1.456795e-04 4.995611e+00 3.172011e-01 5.041082e+01
1.223285e-04 5.354190e+00 3.179717e-01 5.420618e+01
9.864751e-05 5.826678e+00 3.184752e-01 5.928012e+01
8.204901e-05 6.259382e+00 3.185335e-01 6.405973e+01
6.535909e-05 6.830711e+00 3.181585e-01 7.066770e+01
5.377423e-05 7.354810e+00 3.174681e-01 7.712964e+01
4.224110e-05 8.048337e+00 3.161794e-01 8.643626e+01
3.290467e-05 8.820348e+00 3.143858e-01 9.803521e+01
